
 Name : loltokinh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 609 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 608 và 1|| Thời gian tách : 2022-05-23 17:19:21

 Name : loltokinh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 608 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 607 và 1|| Thời gian tách : 2022-05-23 17:19:25

 Name : loltokinh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 607 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 606 và 1|| Thời gian tách : 2022-05-23 17:19:30

 Name : loltokinh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 606 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 605 và 1|| Thời gian tách : 2022-05-23 17:19:37

 Name : loltokinh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 605 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 604 và 1|| Thời gian tách : 2022-05-23 17:19:42

 Name : loltokinh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 604 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 603 và 1|| Thời gian tách : 2022-05-23 17:19:47

 Name : loltokinh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 603 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 602 và 1|| Thời gian tách : 2022-05-23 17:19:51

 Name : loltokinh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 602 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 601 và 1|| Thời gian tách : 2022-05-23 17:20:02

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 1132 || Số lượng tách: 1131 || Số lượng vật phẩm sau khi tách: 1 và 1131|| Thời gian tách : 2022-05-23 17:46:27

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 1131 || Số lượng tách: 1130 || Số lượng vật phẩm sau khi tách: 1 và 1130|| Thời gian tách : 2022-05-23 17:54:01

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 1130 || Số lượng tách: 1129 || Số lượng vật phẩm sau khi tách: 1 và 1129|| Thời gian tách : 2022-05-23 17:54:14

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 588 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-23 17:54:31

