
 Name : co1khong2 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 3205 || Số lượng tách: 500 || Số lượng vật phẩm sau khi tách: 2705 và 500|| Thời gian tách : 2022-06-02 00:24:16
 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 203 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 153 và 50|| Thời gian tách : 2022-06-02 11:50:41

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 153 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 103 và 50|| Thời gian tách : 2022-06-02 11:50:45

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 103 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 53 và 50|| Thời gian tách : 2022-06-02 11:50:53

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 51 || Số lượng tách: 21 || Số lượng vật phẩm sau khi tách: 30 và 21|| Thời gian tách : 2022-06-02 11:52:43

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 33 || Số lượng tách: 3 || Số lượng vật phẩm sau khi tách: 30 và 3|| Thời gian tách : 2022-06-02 11:52:59

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 28 || Số lượng tách: 8 || Số lượng vật phẩm sau khi tách: 20 và 8|| Thời gian tách : 2022-06-02 11:53:48

 Name : nhimcube đã tách vật phẩm || Vật phẩm tách: 643 || Số lượng vật phẩm ban đầu 500 || Số lượng tách: 200 || Số lượng vật phẩm sau khi tách: 300 và 200|| Thời gian tách : 2022-06-02 12:00:35

 Name : btdelmj đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 7 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 6 và 1|| Thời gian tách : 2022-06-02 12:08:01

 Name : btdelmj đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-06-02 12:08:16

 Name : btdelmj đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-06-02 12:08:19

 Name : btdelmj đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-06-02 12:08:25

 Name : btdelmj đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-06-02 12:08:28

 Name : btdelmj đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-02 12:08:33

 Name : btdelmj đã tách vật phẩm || Vật phẩm tách: 772 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-06-02 12:10:03

 Name : btdelmj đã tách vật phẩm || Vật phẩm tách: 772 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-06-02 12:10:07

 Name : btdelmj đã tách vật phẩm || Vật phẩm tách: 772 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-06-02 12:10:09

 Name : btdelmj đã tách vật phẩm || Vật phẩm tách: 772 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-02 12:10:12

 Name : hakaishin đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 142 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 122 và 20|| Thời gian tách : 2022-06-02 12:42:14

 Name : co1khong2 đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 390 || Số lượng tách: 200 || Số lượng vật phẩm sau khi tách: 190 và 200|| Thời gian tách : 2022-06-02 13:02:54

 Name : shinobu đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 8 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 7 và 1|| Thời gian tách : 2022-06-02 13:23:52

 Name : andanh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 2999 || Số lượng tách: 406 || Số lượng vật phẩm sau khi tách: 2593 và 406|| Thời gian tách : 2022-06-02 14:07:31

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 121 || Số lượng tách: 120 || Số lượng vật phẩm sau khi tách: 1 và 120|| Thời gian tách : 2022-06-02 14:07:59

 Name : andanh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 2593 || Số lượng tách: 840 || Số lượng vật phẩm sau khi tách: 1753 và 840|| Thời gian tách : 2022-06-02 14:09:23

 Name : andanh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 1753 || Số lượng tách: 140 || Số lượng vật phẩm sau khi tách: 1613 và 140|| Thời gian tách : 2022-06-02 14:18:04

 Name : andanh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 1753 || Số lượng tách: 210 || Số lượng vật phẩm sau khi tách: 1543 và 210|| Thời gian tách : 2022-06-02 14:18:56

