
 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 628 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 627 và 1|| Thời gian tách : 2022-06-11 02:00:34

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 627 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 626 và 1|| Thời gian tách : 2022-06-11 02:00:36

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 626 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 625 và 1|| Thời gian tách : 2022-06-11 02:00:39

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 625 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 624 và 1|| Thời gian tách : 2022-06-11 02:00:41

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 624 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 623 và 1|| Thời gian tách : 2022-06-11 02:00:44

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 623 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 622 và 1|| Thời gian tách : 2022-06-11 02:00:46

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 622 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 621 và 1|| Thời gian tách : 2022-06-11 02:00:49

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 621 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 620 và 1|| Thời gian tách : 2022-06-11 02:00:54

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 620 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 619 và 1|| Thời gian tách : 2022-06-11 02:00:57

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 619 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 618 và 1|| Thời gian tách : 2022-06-11 02:01:00

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 618 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 617 và 1|| Thời gian tách : 2022-06-11 02:01:28

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 617 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 616 và 1|| Thời gian tách : 2022-06-11 02:01:30

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 616 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 615 và 1|| Thời gian tách : 2022-06-11 02:01:32

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 615 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 614 và 1|| Thời gian tách : 2022-06-11 02:01:34

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 614 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 613 và 1|| Thời gian tách : 2022-06-11 02:01:37

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 613 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 612 và 1|| Thời gian tách : 2022-06-11 02:01:39

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 612 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 611 và 1|| Thời gian tách : 2022-06-11 02:01:42

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 611 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 610 và 1|| Thời gian tách : 2022-06-11 02:01:45

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 610 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 609 và 1|| Thời gian tách : 2022-06-11 02:01:48

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 609 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 608 và 1|| Thời gian tách : 2022-06-11 02:01:50

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 608 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 607 và 1|| Thời gian tách : 2022-06-11 02:01:53

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 607 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 606 và 1|| Thời gian tách : 2022-06-11 02:01:57

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 606 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 605 và 1|| Thời gian tách : 2022-06-11 02:02:00

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 605 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 604 và 1|| Thời gian tách : 2022-06-11 02:02:03

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 604 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 603 và 1|| Thời gian tách : 2022-06-11 02:02:06

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 603 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 602 và 1|| Thời gian tách : 2022-06-11 02:02:08

 Name : hieptapthe đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 602 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 601 và 1|| Thời gian tách : 2022-06-11 02:02:11

