
 Name : helloo đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9883 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 9881 và 2|| Thời gian tách : 2022-03-28 17:47:02

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9881 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9880 và 1|| Thời gian tách : 2022-03-28 17:47:03

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9880 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9879 và 1|| Thời gian tách : 2022-03-28 17:47:05

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-03-28 17:47:08

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9879 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9878 và 1|| Thời gian tách : 2022-03-28 17:47:11

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9878 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9877 và 1|| Thời gian tách : 2022-03-28 17:47:12

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9877 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9876 và 1|| Thời gian tách : 2022-03-28 17:47:14

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9876 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9875 và 1|| Thời gian tách : 2022-03-28 17:47:15

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9875 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9874 và 1|| Thời gian tách : 2022-03-28 17:47:16

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9874 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9873 và 1|| Thời gian tách : 2022-03-28 17:47:18

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9873 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9872 và 1|| Thời gian tách : 2022-03-28 17:47:19

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9872 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9871 và 1|| Thời gian tách : 2022-03-28 17:47:21

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9871 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9870 và 1|| Thời gian tách : 2022-03-28 17:47:22

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9870 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9869 và 1|| Thời gian tách : 2022-03-28 17:49:24

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9869 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9868 và 1|| Thời gian tách : 2022-03-28 17:49:25

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9868 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9867 và 1|| Thời gian tách : 2022-03-28 17:49:27

 Name : helloo đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9867 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9866 và 1|| Thời gian tách : 2022-03-28 17:49:30

