
 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 610 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 609 và 1|| Thời gian tách : 2022-06-03 17:02:34

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 609 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 608 và 1|| Thời gian tách : 2022-06-03 17:02:39

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 608 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 607 và 1|| Thời gian tách : 2022-06-03 17:02:44

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 607 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 606 và 1|| Thời gian tách : 2022-06-03 17:02:51

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 606 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 605 và 1|| Thời gian tách : 2022-06-03 17:02:56

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 605 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 604 và 1|| Thời gian tách : 2022-06-03 17:03:00

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2665 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 2663 và 2|| Thời gian tách : 2022-06-03 17:04:26

 Name : hoangbjp98 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2663 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 2661 và 2|| Thời gian tách : 2022-06-03 17:04:30

 Name : kiem7x đã tách vật phẩm || Vật phẩm tách: 596 || Số lượng vật phẩm ban đầu 138 || Số lượng tách: 8 || Số lượng vật phẩm sau khi tách: 130 và 8|| Thời gian tách : 2022-06-03 17:49:48

