
 Name : thandong đã tách vật phẩm || Vật phẩm tách: 226 || Số lượng vật phẩm ban đầu 67 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 66 và 1|| Thời gian tách : 2022-03-24 13:57:18

 Name : thandong đã tách vật phẩm || Vật phẩm tách: 227 || Số lượng vật phẩm ban đầu 57 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 56 và 1|| Thời gian tách : 2022-03-24 13:57:20

 Name : thandong đã tách vật phẩm || Vật phẩm tách: 223 || Số lượng vật phẩm ban đầu 28 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 27 và 1|| Thời gian tách : 2022-03-24 13:57:22

 Name : upamecano đã tách vật phẩm || Vật phẩm tách: 578 || Số lượng vật phẩm ban đầu 255 || Số lượng tách: 200 || Số lượng vật phẩm sau khi tách: 55 và 200|| Thời gian tách : 2022-03-24 14:07:59

 Name : upamecano đã tách vật phẩm || Vật phẩm tách: 577 || Số lượng vật phẩm ban đầu 515 || Số lượng tách: 400 || Số lượng vật phẩm sau khi tách: 115 và 400|| Thời gian tách : 2022-03-24 14:08:09

 Name : upamecano đã tách vật phẩm || Vật phẩm tách: 577 || Số lượng vật phẩm ban đầu 515 || Số lượng tách: 400 || Số lượng vật phẩm sau khi tách: 115 và 400|| Thời gian tách : 2022-03-24 14:12:13

 Name : andanh đã tách vật phẩm || Vật phẩm tách: 427 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-03-24 14:12:55

 Name : upamecano đã tách vật phẩm || Vật phẩm tách: 577 || Số lượng vật phẩm ban đầu 400 || Số lượng tách: 4 || Số lượng vật phẩm sau khi tách: 396 và 4|| Thời gian tách : 2022-03-24 14:12:56

 Name : lofibuonst đã tách vật phẩm || Vật phẩm tách: 225 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-03-24 15:13:24

 Name : thachdau đã tách vật phẩm || Vật phẩm tách: 222 || Số lượng vật phẩm ban đầu 9 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 8 và 1|| Thời gian tách : 2022-03-24 15:31:47

 Name : thachdau đã tách vật phẩm || Vật phẩm tách: 223 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-03-24 15:34:13

 Name : s2vip2s đã tách vật phẩm || Vật phẩm tách: 700 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-03-24 15:40:18

 Name : s2vip2s đã tách vật phẩm || Vật phẩm tách: 228 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-03-24 15:47:53

 Name : moitapchoi đã tách vật phẩm || Vật phẩm tách: 573 || Số lượng vật phẩm ban đầu 8 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 7 và 1|| Thời gian tách : 2022-03-24 16:07:48

 Name : upamecano đã tách vật phẩm || Vật phẩm tách: 577 || Số lượng vật phẩm ban đầu 515 || Số lượng tách: 400 || Số lượng vật phẩm sau khi tách: 115 và 400|| Thời gian tách : 2022-03-24 16:34:00

 Name : vjpnsoae đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 3439 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 2439 và 1000|| Thời gian tách : 2022-03-24 16:36:10

 Name : makunai đã tách vật phẩm || Vật phẩm tách: 222 || Số lượng vật phẩm ban đầu 29 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 24 và 5|| Thời gian tách : 2022-03-24 16:36:20

 Name : upamecano đã tách vật phẩm || Vật phẩm tách: 577 || Số lượng vật phẩm ban đầu 400 || Số lượng tách: 200 || Số lượng vật phẩm sau khi tách: 200 và 200|| Thời gian tách : 2022-03-24 16:38:48

 Name : skilll đã tách vật phẩm || Vật phẩm tách: 222 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-03-24 16:46:49

 Name : upamecano đã tách vật phẩm || Vật phẩm tách: 573 || Số lượng vật phẩm ban đầu 659 || Số lượng tách: 500 || Số lượng vật phẩm sau khi tách: 159 và 500|| Thời gian tách : 2022-03-24 16:51:45

