
 Name : kocanbiet đã tách vật phẩm || Vật phẩm tách: 838 || Số lượng vật phẩm ban đầu 8 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 7 và 1|| Thời gian tách : 2022-04-12 00:14:15
 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 2450 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 2400 và 50|| Thời gian tách : 2022-04-12 20:06:12

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 2400 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 2350 và 50|| Thời gian tách : 2022-04-12 20:06:14

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 2350 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 2300 và 50|| Thời gian tách : 2022-04-12 20:06:16

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 2300 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 2250 và 50|| Thời gian tách : 2022-04-12 20:06:19

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 2250 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 2200 và 50|| Thời gian tách : 2022-04-12 20:06:20

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 2200 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 2150 và 50|| Thời gian tách : 2022-04-12 20:06:24

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 2150 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 2100 và 50|| Thời gian tách : 2022-04-12 20:06:26

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 2100 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 2050 và 50|| Thời gian tách : 2022-04-12 20:06:29

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 2050 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 2000 và 50|| Thời gian tách : 2022-04-12 20:06:31

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 2000 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 1950 và 50|| Thời gian tách : 2022-04-12 20:06:39

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 1950 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 1900 và 50|| Thời gian tách : 2022-04-12 20:06:40

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 1900 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 1850 và 50|| Thời gian tách : 2022-04-12 20:06:42

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 1850 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 1800 và 50|| Thời gian tách : 2022-04-12 20:06:44

 Name : Bé Hà đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 1800 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 1750 và 50|| Thời gian tách : 2022-04-12 20:06:46

